nama,user_rating,rating,original_rating,user_count,bayesian_rating,confidence_category,is_reliable,rating_difference
Rejeki Hokkian Noodle,46,4.4,4.4,46,4.469895478852699,Sangat rendah,TRUE,0.06989547885269864
Rujak Cingur dan Sop Buntut Genteng Durasim,1610,4.5,4.5,1610,4.496681418772046,Sangat tinggi,TRUE,-0.0033185812279539206
STMJ Bu Nunuk - Pojok Ngagel,1825,4.4,4.4,1825,4.411912705768553,Sangat tinggi,TRUE,0.011912705768552634
Sabana Bundo Sati MASAKAN PADANG,1593,4.5,4.5,1593,4.4966519202722415,Sangat tinggi,TRUE,-0.003348079727758524
Sari Bundo Rumah Makan,189,4.4,4.4,189,4.450239523147809,Tinggi,TRUE,0.050239523147808995
"Sate ""Sinar Jaya""",486,4.2,4.2,486,4.311045062098897,Sangat tinggi,TRUE,0.11104506209889653
Sate Ayam Cak Rokim,33,4.4,4.4,33,4.472473184455777,Sangat rendah,TRUE,0.07247318445577644
Sate Ayam Cak Rokim,33,4.4,4.4,33,4.472473184455777,Sangat rendah,TRUE,0.07247318445577644
Sate Ayam GBT,147,4.4,4.4,147,4.454762695649864,Sedang,TRUE,0.05476269564986325
Sate Ayam Gule Kambing,77,4.3,4.3,77,4.44501083863975,Rendah,TRUE,0.14501083863975062
Sate Ayam Madura - Zainuddin,658,4.5,4.5,658,4.493449409228298,Sangat tinggi,TRUE,-0.006550590771701614
Sate Ayam Pak Mat,33,4.5,4.5,33,4.481834886583436,Sangat rendah,TRUE,-0.018165113416563905
Sate Ayam Ponorogo Pak Pandi,790,4.5,4.5,790,4.4942287494553055,Sangat tinggi,TRUE,-0.005771250544694517
Sate Ayam Ponorogo Pak Seger,5994,4.4,4.4,5994,4.40404637641889,Sangat tinggi,TRUE,0.004046376418889608
Sate Gule Cak Wit,700,4.3,4.3,700,4.356397054949153,Sangat tinggi,TRUE,0.05639705494915326
Sate Kambing & Thengkleng Rica-rica Pak Manto,1664.5,4.6,4.6,1664.5,4.580668748750333,Sangat tinggi,TRUE,-0.019331251249666614
Sate Kelopo Ondomohen Bu Asih,10385.333333333334,4.4,4.4,10385.333333333334,4.402386473168257,Sangat tinggi,TRUE,0.0023864731682570195
Sate Kelopo Ondomohen Pojok Malam,85,4.3,4.3,85,4.442142886330436,Rendah,TRUE,0.14214288633043637
Sate Klopo Kak Mad,538,4.2,4.2,538,4.304311134134882,Sangat tinggi,TRUE,0.10431113413488191
Sate Madurasa,59,4.1,4.1,59,4.4207313012434915,Rendah,TRUE,0.3207313012434918
Sate Pak Mat Jami'i,262,4.4,4.4,262,4.443932583870441,Sangat tinggi,TRUE,0.043932583870440745
